vial_id,frames_tracked,first_frame,last_frame,dwell_time_sec,mean_radius,std_radius,path_length_px,flicker_ratio,last_x,last_y,low_confidence,size_anomaly,unstable_rim,intermittent,jam_alert,disposition
0,60,0,59,4.98,25.18,0.387,100.4,0.0,180,194,False,False,False,False,False,PASS
1,60,0,59,4.98,25.0,0.0,85.1,0.0,70,342,False,False,False,False,False,PASS
2,60,0,59,4.98,25.37,0.515,74.5,0.0,416,330,False,False,False,False,False,PASS
3,60,0,59,4.98,23.0,0.0,77.3,0.0,492,150,False,False,False,False,False,PASS
4,60,0,59,4.98,22.0,0.0,84.6,0.0,224,488,False,False,False,False,False,PASS
5,60,0,59,4.98,23.0,0.0,87.9,0.0,78,398,False,False,False,False,False,PASS
6,60,0,59,4.98,23.0,0.0,106.2,0.0,610,42,False,False,False,False,False,PASS
7,60,0,59,4.98,20.0,0.0,81.5,0.0,124,58,False,False,False,False,False,PASS
8,60,0,59,4.98,34.0,0.0,121.0,0.0,80,496,False,True,False,False,False,REVIEW
9,60,0,59,4.98,22.5,0.695,88.0,0.0,98,214,False,False,False,False,False,PASS
10,60,0,59,4.98,25.03,0.18,75.0,0.0,500,600,False,False,False,False,False,PASS
11,60,0,59,4.98,19.3,0.458,92.4,0.0,186,174,False,False,False,False,False,PASS
12,60,0,59,4.98,18.15,0.357,85.5,0.0,290,60,False,False,False,False,False,PASS
13,57,0,56,4.731,18.18,0.38,64.1,0.0,102,218,False,False,False,False,False,PASS
14,60,0,59,4.98,23.17,1.655,116.5,0.0,348,210,False,False,False,False,False,PASS
15,60,0,59,4.98,18.18,0.387,103.6,0.0,330,36,False,False,False,False,False,PASS
16,60,0,59,4.98,18.18,0.387,77.1,0.0,536,444,False,False,False,False,False,PASS
17,60,0,59,4.98,20.23,0.423,82.6,0.0,606,386,False,False,False,False,False,PASS
18,60,0,59,4.98,24.28,0.451,85.8,0.0,592,506,False,False,False,False,False,PASS
19,60,0,59,4.98,16.0,0.0,68.1,0.0,400,528,False,False,False,False,False,PASS
20,60,0,59,4.98,16.0,0.0,79.5,0.0,30,38,False,False,False,False,False,PASS
21,60,0,59,4.98,21.55,0.497,83.9,0.0,246,430,False,False,False,False,False,PASS
22,60,0,59,4.98,17.18,0.387,86.1,0.0,530,406,False,False,False,False,False,PASS
23,60,0,59,4.98,22.3,0.493,78.6,0.0,352,416,False,False,False,False,False,PASS
24,60,0,59,4.98,20.03,0.18,87.5,0.0,510,452,False,False,False,False,False,PASS
25,60,0,59,4.98,19.52,0.645,91.4,0.0,372,42,False,False,False,False,False,PASS
26,60,0,59,4.98,23.62,0.486,100.9,0.0,72,190,False,False,False,False,False,PASS
27,60,0,59,4.98,23.57,0.528,85.0,0.0,420,260,False,False,False,False,False,PASS
28,60,0,59,4.98,17.18,0.387,98.3,0.0,580,260,False,False,False,False,False,PASS
29,60,0,59,4.98,16.35,0.477,60.5,0.0,554,276,False,False,False,False,False,PASS
30,60,0,59,4.98,21.45,0.497,38.8,0.0,218,398,False,False,False,False,True,PASS
31,60,0,59,4.98,18.38,0.486,86.5,0.0,598,344,False,False,False,False,False,PASS
32,60,0,59,4.98,20.17,0.373,101.6,0.0,352,336,False,False,False,False,False,PASS
33,60,0,59,4.98,20.47,0.694,84.8,0.0,350,480,False,False,False,False,False,PASS
34,60,0,59,4.98,18.52,0.532,53.8,0.0,202,414,False,False,False,False,False,PASS
35,60,0,59,4.98,18.23,0.423,86.6,0.0,512,536,False,False,False,False,False,PASS
36,47,0,46,3.901,17.47,0.499,45.0,0.0,368,26,False,False,False,False,False,PASS
37,51,0,50,4.233,8.88,0.322,59.3,0.0,536,468,False,True,False,False,False,REVIEW
38,39,21,59,3.237,25.28,0.504,55.8,0.0,330,290,False,False,False,False,False,PASS
